topic_name,subject_name,required_hours
Propositional and first order logic and test,Engineering Mathematics,2
Sets,Engineering Mathematics,5
relations,Engineering Mathematics,5
functions,Engineering Mathematics,5
partial orders,Engineering Mathematics,1
lattices,Engineering Mathematics,2
Groups,Engineering Mathematics,2
"Graphs: connectivity, matching, coloring",Engineering Mathematics,4
"Combinatorics: counting, recurrence relations, generating functions",Engineering Mathematics,5
Matrices,Engineering Mathematics,4
determinants,Engineering Mathematics,2
system of linear equations,Engineering Mathematics,1
eigenvalues and eigenvectors,Engineering Mathematics,5
LU decomposition.,Engineering Mathematics,5
Limits,Engineering Mathematics,4
continuity,Engineering Mathematics,4
differentiability,Engineering Mathematics,1
Maxima and minima,Engineering Mathematics,5
Mean value theorem,Engineering Mathematics,2
Integration,Engineering Mathematics,4
Random variables,Engineering Mathematics,2
Uniform and normal Distribution,Engineering Mathematics,1
"exponential, poisson and binomial distributions",Engineering Mathematics,3
Mean and median,Engineering Mathematics,3
mode and standard deviation,Engineering Mathematics,1
Conditional probability,Engineering Mathematics,2
Bayes theorem.,Engineering Mathematics,4
Boolean algebra,Digital Logic,4
Combinational and sequential circuits,Digital Logic,5
Minimization,Digital Logic,5
Number representations,Digital Logic,5
computer arithmetic (fixed and floating point),Digital Logic,5
Machine instructions and addressing modes,Computer Organization and Architecture,3
ALU,Computer Organization and Architecture,5
data?path and control unit,Computer Organization and Architecture,3
Instruction pipelining,Computer Organization and Architecture,2
"Memory hierarchy: cache, main memory and secondary storage",Computer Organization and Architecture,3
I/O interface (interrupt and DMA mode),Computer Organization and Architecture,4
Programming in C,Programming and Data Structures,3
recurrenceursion,Programming and Data Structures,2
Arrays,Programming and Data Structures,2
stacks,Programming and Data Structures,3
queues,Programming and Data Structures,3
linked lists,Programming and Data Structures,1
trees,Programming and Data Structures,5
binary search trees,Programming and Data Structures,3
binary heaps,Programming and Data Structures,5
graphs.,Programming and Data Structures,4
Searching,Algorithms,2
sorting,Algorithms,3
hashing,Algorithms,3
Asymptotic worst case time and space complexity,Algorithms,1
"Algorithm design techniques: greedy, dynamic programming and divide?and?conquer",Algorithms,3
Graph search,Algorithms,3
Minimum spanning trees,Algorithms,1
Shortest paths,Algorithms,2
Regular expressions and finite automata,Theory of Computation,3
Context-free grammars and push-down automata,Theory of Computation,3
Regular and contex-free languages,Theory of Computation,4
pumping lemma,Theory of Computation,5
Turing machines,Theory of Computation,5
undecidability,Theory of Computation,2
Lexical analysis,Compiler Design,1
parsing,Compiler Design,1
syntax-directed translation,Compiler Design,4
Runtime environments,Compiler Design,3
Intermediate code generation,Compiler Design,3
Processes,Operating System,1
threads,Operating System,2
inter?process communication,Operating System,4
concurrency and synchronization,Operating System,5
Deadlock,Operating System,1
CPU scheduling,Operating System,3
Memory management and virtual memory,Operating System,2
File systems,Operating System,3
ER?mode,Databases,4
"Relational model: relational algebra, tuple calculus, SQL",Databases,3
Integrity constraints,Databases,3
normal forms,Databases,2
File organization,Databases,2
"indexing (e.g., B and B+ trees)",Databases,2
Transactions and concurrency control,Databases,1
Concept of layering,Computer Networks,1
LAN technologies (Ethernet),Computer Networks,3
Flow and error control techniques,Computer Networks,1
switching,Computer Networks,4
IPv4/IPv6,Computer Networks,2
"routers and routing algorithms (distance vector, link state)",Computer Networks,5
TCP/UDP and sockets,Computer Networks,2
congestion control,Computer Networks,5
"Application layer protocols (DNS, SMTP, POP, FTP, HTTP)",Computer Networks,4
Basics of Wi-Fi,Computer Networks,5
Network security: authentication,Computer Networks,1
basics of public key and private key cryptography,Computer Networks,4
digital signatures and certificates,Computer Networks,1
firewalls,Computer Networks,2
